DATE,PLAY,ODDS,MEMBER,MASTER,UNITS_OUT,UNITS_IN,,,,
"Jan 14, 2026",Purdue -9.5,-125,sandyy,L,1.25,0.00,,,1,
"Jan 14, 2026",Purdue/Michigan/Illinois/Georgia ML Parlay,-130,amphetaphene,L,3.00,0.00,,,1,
"Jan 14, 2026",Furnam +2.5,-110,ECU Alum,W,2.20,4.20,,1,,
"Jan 14, 2026",ETSU ML & Iona ML,-152,Purple Dragon Bets,L,3.75,0.00,,,1,
"Jan 14, 2026",Illinois -9.5,-110,Bet With Seb,W,1.50,2.86,,1,,
"Jan 15, 2026",Celtics ML,-125,ECU Alum,W,2.50,4.50,,1,,
"Jan 15, 2026",Liberty/Georgia Souther ML parlay,-132,Purple Dragon Bets,W,3.25,5.71,,1,,
"Jan 16, 2026",Espanyol ML,-110,san solares,L,1.65,0.00,,,1,
"Jan 16, 2026",DePaul -3,-120,ECU Alum,W,2.40,4.40,,1,,
"Jan 16, 2026",DePaul & Kanasas ML parlay,106,Purple Dragon Bets,W,2.00,4.12,,1,,
"Jan 16, 2026",Kansas -6.5,-111,Bet With Seb,W,1.50,2.85,,1,,
"Jan 17, 2026",Arizona/Tennessee ML parlay,-145,amphetaphene,L,3.50,0.00,,,1,
"Jan 17, 2026",Arsenal ML & o1.5,-110,san solares,L,1.10,0.00,,,1,
"Jan 17, 2026",Belmont ML,-145,ECU Alum,W,2.90,4.90,,1,,
"Jan 17, 2026",Kansas St +13.5,-114,cpa poke,W,1.14,2.14,,1,,
"Jan 17, 2026",Broncos +7/49ers +14,-142,Purple Dragon Bets,L,3.25,0.00,,,1,
"Jan 17, 2026",Michigan St -3.5,-110,Bet With Seb,W,1.50,2.86,,1,,
"Jan 17, 2026",E Washington/Idaho St o152,-119,riprap,L,1.19,0.00,,,1,
"Jan 18, 2026",Wichita St +7.5,-110,sandyy,W,1.10,2.10,,1,,
"Jan 18, 2026",Tulane ML,-120,ECU Alum,L,2.40,0.00,,,1,
"Jan 18, 2026",Cal -13.5,-115,cpa poke,W,2.30,4.30,,1,,
"Jan 18, 2026",Cal/Florida/Ole Miss ML parlay,-104,cpa poke,L,1.04,0.00,,,1,
"Jan 18, 2026",Pegula vs Zakharova o18,-120,swan,L,1.20,0.00,,,1,
"Jan 18, 2026",Patriots -3,-118,Purple Dragon Bets,W,3.50,6.47,,1,,
"Jan 18, 2026",Tulsa/UAB o158,-118,riprap,W,1.18,2.18,,1,,
"Jan 19, 2026",Drexel/Towson o124.5,-110,sandyy,L,1.10,0.00,units out,,1,
"Jan 19, 2026",Brighton v Bournemouth BTTS o2.5,-130,san solares,L,2.60,0.00,72.95,,1,
"Jan 19, 2026",Dartmouth ML,-118,ECU Alum,W,2.36,4.36,units in,1,,
"Jan 19, 2026",TCU v Ohio St o144.5,-114,cpa poke,L,1.14,0.00,75.19,,1,
"Jan 19, 2026",Incarnate Word ML/Indiana -2,-141,Purple Dragon Bets,L,3.00,0.00,,,1,
"Jan 19, 2026",Suns -8,-110,riprap,W,1.10,2.10, +/-,1,,
"Jan 20, 2026",Michigan St -9.5,-110,Bet With Seb,W,1.50,2.86,2.24,1,,
"Jan 20, 2026",Texas Tech ML,-125,sandyy,W,1.25,2.25,roi %,1,,
"Jan 20, 2026",PSG ML,-130,san solares,L,1.30,0.00,3.07%,,1,
"Jan 20, 2026",Miami Ohio ML,-110,Purple Dragon Bets,W,3.00,5.73,win,1,,
"Jan 20, 2026",Miami Ohio ML,-115,ECU Alum,W,2.30,4.30,20,1,,
"Jan 21, 2026",Troy/USC ML parlay,-111,Purple Dragon Bets,,,,lose,,,2.00
"Jan 21, 2026",New Castle v PSV BTTS/o2.5,-140,san solares,,,,16,,,2.10
"Jan 21, 2026",San Diego St +1.5,-110,ECU Alum,,,,,,,1.10
"Jan 21, 2026",Western Kentucky ML,115,sandyy,,,,,,,1.00
"Jan 21, 2026",Nebraska -10.5,-110,Bet With Seb,,,,,,,1.65
